chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,7.3101976331842056e-03,3,0,0.00000000,7,3.588058
1,warmup,2,7.3101976331842056e-03,7,0,0.00000000,79,40.431744
1,warmup,3,7.3101976331842056e-03,4,0,0.00000000,15,7.342925
1,warmup,4,7.3101976331842056e-03,2,0,0.00000000,3,1.453840
1,warmup,5,7.3101976331842056e-03,3,0,0.00000000,7,3.584025
1,warmup,6,7.3101976331842056e-03,5,0,0.00026472,31,15.216042
1,warmup,7,7.3101976331842056e-03,5,0,0.00000000,31,15.111462
1,warmup,8,7.3101976331842056e-03,3,0,0.00000000,7,3.342981
1,warmup,9,7.3101976331842056e-03,3,0,0.00000000,7,3.379114
1,warmup,10,7.3101976331842056e-03,2,0,0.00000000,3,1.429140
1,warmup,11,7.3101976331842056e-03,3,0,0.00000000,7,3.587534
1,warmup,12,7.3101976331842056e-03,4,0,0.00000000,15,7.151017
1,warmup,13,7.3101976331842056e-03,5,1,0.00000000,26,12.420343
1,warmup,14,7.3101976331842056e-03,3,0,0.00000000,7,3.398218
1,warmup,15,7.3101976331842056e-03,4,0,0.00000000,15,7.560549
1,warmup,16,7.3101976331842056e-03,3,0,0.00000000,7,3.387351
1,warmup,17,7.3101976331842056e-03,5,0,0.00000000,23,11.466721
1,warmup,18,7.3101976331842056e-03,3,0,0.00000000,7,3.387358
1,warmup,19,7.3101976331842056e-03,2,0,0.00000000,3,1.421984
1,warmup,20,7.3101976331842056e-03,2,0,0.00000000,3,1.563409
1,warmup,21,7.3101976331842056e-03,6,0,0.00000000,63,30.185293
1,warmup,22,7.3101976331842056e-03,5,0,0.00000000,31,14.640360
1,warmup,23,7.3101976331842056e-03,5,0,0.00000000,31,14.754877
1,warmup,24,7.3101976331842056e-03,2,0,0.00000000,3,1.429438
1,warmup,25,7.3101976331842056e-03,7,0,0.00000000,127,60.306788
1,warmup,26,7.3101976331842056e-03,7,0,0.00000000,79,37.236302
1,warmup,27,7.3101976331842056e-03,3,0,0.00000000,7,3.302978
1,warmup,28,7.3101976331842056e-03,4,0,0.00000000,15,7.084975
1,warmup,29,7.3101976331842056e-03,3,0,0.00000000,7,3.306141
1,warmup,30,7.3101976331842056e-03,5,0,0.00000000,31,14.692602
1,warmup,31,7.3101976331842056e-03,4,0,0.00000000,15,7.058225
1,warmup,32,7.3101976331842056e-03,5,0,0.00000000,31,14.706280
1,warmup,33,7.3101976331842056e-03,2,0,0.00000000,3,1.448895
1,warmup,34,7.3101976331842056e-03,5,0,0.00000000,31,14.697127
1,warmup,35,7.3101976331842056e-03,3,0,0.00000000,7,3.315992
1,warmup,36,7.3101976331842056e-03,3,0,0.00000000,7,3.314432
1,warmup,37,7.3101976331842056e-03,6,0,0.00000000,63,29.864555
1,warmup,38,7.3101976331842056e-03,5,0,0.00000000,31,14.765494
1,warmup,39,7.3101976331842056e-03,2,0,0.00000000,3,1.418978
1,warmup,40,7.3101976331842056e-03,4,0,0.00000000,15,7.104446
1,warmup,41,7.3101976331842056e-03,3,0,0.00000000,7,3.305849
1,warmup,42,7.3101976331842056e-03,5,0,0.00000000,31,14.674732
1,warmup,43,7.3101976331842056e-03,6,1,0.00000000,49,23.625159
1,warmup,44,7.3101976331842056e-03,5,0,0.00000000,31,15.318892
1,warmup,45,7.3101976331842056e-03,5,0,0.00000000,31,15.155568
1,warmup,46,7.3101976331842056e-03,7,0,0.72638038,95,46.150084
1,warmup,47,7.3101976331842056e-03,10,0,0.52051571,1023,488.590261
1,warmup,48,7.3101976331842056e-03,8,0,0.36191718,207,99.531718
1,warmup,49,7.3101976331842056e-03,10,0,0.11815696,1023,488.664491
1,warmup,50,7.3101976331842056e-03,10,0,0.85988350,1023,493.282495
1,sampling,1,7.3101976331842056e-03,10,0,0.11892022,1023,489.307863
1,sampling,2,7.3101976331842056e-03,8,0,0.63858124,139,66.743357
1,sampling,3,7.3101976331842056e-03,10,0,0.41825037,1023,490.501386
1,sampling,4,7.3101976331842056e-03,10,0,0.99130685,1023,488.426412
1,sampling,5,7.3101976331842056e-03,10,0,0.99786705,1023,490.878468
1,sampling,6,7.3101976331842056e-03,10,0,0.99992335,1023,490.910521
1,sampling,7,7.3101976331842056e-03,10,0,0.89980589,1023,494.568347
