chain,phase,iteration,step_size,tree_depth,diverging,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,1,0.524619
1,warmup,2,2.3023584708549680e-01,1,1,1,0.517166
1,warmup,3,1.6694442034480849e-02,1,1,1,0.518349
1,warmup,4,1.1264530391868397e-03,3,1,5,2.598930
1,warmup,5,2.1032758995633504e-04,4,1,9,4.616409
1,warmup,6,1.3580290642418029e-05,1,1,1,0.513878
1,warmup,7,7.5429814662818764e-06,5,1,21,10.817387
1,warmup,8,1.9048071423871837e-06,7,1,76,38.470218
1,warmup,9,1.5040036476748245e-06,5,1,29,14.513989
