chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,0.999144
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,1.001303
1,warmup,3,1.6694442034480849e-02,1,0,0.00000000,1,0.993512
1,warmup,4,5.7143808646861263e-03,3,0,0.58642595,7,7.024667
1,warmup,5,4.2463819280223261e-03,6,0,0.80935769,63,63.500240
1,warmup,6,5.1781835429528925e-04,7,0,0.18118718,127,125.806438
1,warmup,7,8.1930723673413427e-04,7,0,0.99999712,127,123.769407
1,warmup,8,1.1416754557968959e-03,7,0,0.93447995,127,123.612191
1,warmup,9,1.4983543190162721e-03,7,0,0.89999400,127,122.918659
1,warmup,10,2.7174686771081523e-03,7,0,0.99212591,127,122.099792
1,warmup,11,6.7967201881067110e-04,7,0,0.35831056,127,122.582724
1,warmup,12,1.3133399605877785e-03,7,0,0.99999948,127,122.879489
1,warmup,13,1.5561776041404136e-03,7,0,0.84151127,127,120.883382
1,warmup,14,3.4263998615299661e-04,7,0,0.29922229,127,121.716941
1,warmup,15,6.7938491138868880e-04,7,0,0.99999993,127,122.998108
1,warmup,16,1.3113506045532423e-03,7,0,0.99212177,127,121.150559
1,warmup,17,2.4081311921508699e-03,7,0,0.97734488,127,122.344683
1,warmup,18,4.1434640732496419e-03,7,0,0.95774645,71,68.007342
1,warmup,19,1.2699435687255382e-03,7,0,0.38582480,127,122.244610
1,warmup,20,2.0930935308794874e-03,6,0,0.94285714,35,33.147319
1,warmup,21,3.8654346050504278e-04,7,0,0.20471035,127,121.915361
1,warmup,22,3.6168858611338025e-04,7,0,0.74803088,127,120.336437
1,warmup,23,1.2393568606791725e-04,7,0,0.40157474,127,120.104111
1,warmup,24,2.4287856151731978e-04,7,0,0.99999998,127,120.801756
1,warmup,25,4.7093971318545207e-04,7,0,0.99999976,127,119.710240
1,warmup,26,3.9605973546640407e-04,6,0,0.70889098,63,59.418616
1,warmup,27,7.5702298256529333e-04,7,0,0.99999909,127,120.147133
1,warmup,28,1.2963737503189688e-03,7,0,0.96436868,111,106.362200
1,warmup,29,7.6685269420071573e-04,7,0,0.58267570,127,121.691219
1,warmup,30,1.4044582554502854e-03,7,0,0.99212597,127,121.657768
1,warmup,31,6.2093521112948746e-04,7,0,0.47250086,127,121.468984
1,warmup,32,9.7147377749992830e-04,7,0,0.93670846,79,75.749051
1,warmup,33,8.5558821690236131e-04,7,0,0.72440918,127,121.421558
1,warmup,34,2.8132701063871999e-04,7,0,0.35196421,127,120.865633
1,warmup,35,4.0273664255234965e-04,6,0,0.90477355,63,60.215519
1,warmup,36,7.3479019861473916e-04,7,0,0.99999887,127,120.024219
1,warmup,37,7.9055053126944207e-04,7,0,0.79966216,127,121.616692
1,warmup,38,1.0166443946051113e-03,5,0,0.86965229,23,22.061464
1,warmup,39,1.4626133100137772e-03,7,0,0.91527020,127,121.919459
1,warmup,40,2.1293260680270345e-03,7,0,0.92222943,103,97.737735
1,warmup,41,6.3364816990158488e-04,7,0,0.29229094,127,121.152056
1,warmup,42,7.7933981824198468e-04,7,0,0.85455322,127,121.106911
1,warmup,43,1.1946105456391979e-03,7,0,0.94487119,127,121.535362
1,warmup,44,2.0689511703475267e-03,7,0,0.99718846,127,121.443721
1,warmup,45,7.9866671832912314e-04,7,0,0.38514366,127,120.588509
1,warmup,46,1.3850388116250585e-03,7,0,0.99999997,127,120.149028
1,warmup,47,1.7253486719141756e-03,7,0,0.86576537,127,120.848491
1,warmup,48,8.3129230291511147e-04,7,0,0.46953854,127,119.841550
1,warmup,49,1.4074534289821735e-03,7,0,0.99513309,127,120.796236
1,warmup,50,6.2862536774288796e-04,7,0,0.43289563,127,121.549140
1,warmup,51,1.0618496970613133e-03,7,0,0.99659654,127,119.958803
1,warmup,52,1.7937040228596280e-03,7,0,0.99969294,127,120.690359
1,warmup,53,2.7891288428000690e-03,7,0,0.96691399,127,120.477128
1,warmup,54,3.4248374155512237e-03,4,0,0.86666611,15,14.252243
1,warmup,55,2.9532856379271065e-03,7,0,0.71301925,127,121.094776
1,warmup,56,3.2018607139677503e-03,7,0,0.81327768,127,119.000367
1,warmup,57,2.7689097796932734e-03,7,0,0.71351138,127,118.701623
1,warmup,58,4.8504282171122633e-04,4,0,0.00000000,15,14.244382
1,warmup,59,2.5756185195264115e-04,4,0,0.48877767,15,14.032143
1,warmup,60,5.0069744613775801e-05,7,0,0.03145233,127,118.618797
1,warmup,61,8.1146666779451814e-05,7,0,0.98672277,127,118.971990
1,warmup,62,1.3393439316512261e-04,7,0,0.99780759,127,123.892642
1,warmup,63,3.5751373683498957e-05,7,0,0.16283306,127,120.603771
1,warmup,64,2.6449705902515369e-05,7,0,0.62747854,127,119.366542
1,warmup,65,9.7090358974900024e-06,7,0,0.30007205,127,121.443871
1,warmup,66,1.6043179460525456e-05,7,0,0.99867726,127,119.051967
1,warmup,67,1.0714694015268131e-05,7,0,0.57537997,127,118.995911
1,warmup,68,1.7438421657141191e-05,7,0,0.99471990,127,121.445957
1,warmup,69,2.7643838110397472e-05,7,0,0.98488210,127,119.686503
1,warmup,70,4.3547995321558593e-05,7,0,0.98441544,127,119.052771
1,warmup,71,1.6911069962689106e-05,7,0,0.31381761,127,120.613244
1,warmup,72,9.8320821617878917e-06,7,0,0.50416009,127,120.742497
