chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,1.341059
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,1.338481
1,warmup,3,1.6694442846153838e-02,2,1,0.00000002,3,3.989172
1,warmup,4,1.9773019721560157e-03,3,0,0.21498750,7,8.981080
1,warmup,5,6.4193082849621811e-04,7,0,0.54709155,127,166.689235
1,warmup,6,4.9449956343690707e-04,7,0,0.79984267,127,167.665538
1,warmup,7,4.1024121429931396e-04,7,0,0.79281945,127,164.625703
1,warmup,8,2.6372170639588197e-04,6,0,0.69043273,55,70.762544
1,warmup,9,9.0066984197705513e-05,6,0,0.47593780,63,83.442504
1,warmup,10,1.6679652599839692e-04,7,0,0.99996514,127,165.946014
1,warmup,11,3.1481712551782617e-04,7,0,0.99715039,127,162.724456
1,warmup,12,1.9459601444026642e-04,7,0,0.63733370,127,166.311223
1,warmup,13,3.5006453181661860e-04,7,0,0.97199224,127,163.664304
1,warmup,14,3.2832346093568962e-04,7,0,0.76136985,127,163.886386
1,warmup,15,1.7540602275690592e-04,7,0,0.57665943,127,164.848689
1,warmup,16,1.0419269025667901e-04,7,0,0.60606510,127,165.929167
1,warmup,17,3.0048642478890335e-05,6,0,0.36507673,63,81.550510
1,warmup,18,6.0797921244309964e-05,7,0,0.99999970,127,165.688655
1,warmup,19,1.8825248968627568e-05,7,0,0.37794835,127,164.944508
1,warmup,20,3.8086480582583102e-05,7,0,0.99999999,127,166.446327
