chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,0.491647
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,0.482723
1,warmup,3,1.6694442034480849e-02,1,0,0.00000000,1,0.483904
1,warmup,4,5.7143808646837862e-03,3,0,0.58642595,7,3.374995
1,warmup,5,4.2463800531923135e-03,6,0,0.80935754,63,30.677730
1,warmup,6,6.9406186948672323e-04,7,0,0.27686002,127,61.195012
1,warmup,7,1.1035078931866001e-03,7,0,0.99999544,127,60.719760
1,warmup,8,1.0724221676675146e-03,7,0,0.81889703,127,60.234863
1,warmup,9,6.7345796041376211e-04,4,0,0.66666849,15,7.151765
1,warmup,10,2.5137858464767220e-04,7,0,0.49258439,127,60.174286
1,warmup,11,4.7852710501321364e-04,7,0,0.99999993,127,60.209337
1,warmup,12,8.4631502769820218e-04,7,0,0.97154901,127,61.004618
1,warmup,13,1.0794635614575785e-03,7,0,0.86438852,127,61.256909
1,warmup,14,8.7519797172185628e-04,7,0,0.71664049,127,60.587377
1,warmup,15,1.7251066767742494e-03,7,0,0.99999983,127,60.956360
1,warmup,16,2.7949459846152748e-03,7,0,0.93731187,127,60.746771
1,warmup,17,2.9355337537958011e-03,7,0,0.79624175,127,60.751277
1,warmup,18,5.1982645250589739e-03,5,0,0.96774189,31,14.724045
1,warmup,19,3.6253173214616276e-03,6,0,0.65992965,47,22.354484
1,warmup,20,3.8692909615021189e-03,4,0,0.80000000,15,7.345352
1,warmup,21,7.2756719791217692e-04,7,0,0.21254741,127,60.324929
1,warmup,22,1.3534118128911161e-03,7,0,0.98425194,127,60.406147
1,warmup,23,2.2567078017333795e-03,7,0,0.94982615,127,60.995368
1,warmup,24,4.1784111587964747e-04,7,0,0.18987223,79,37.502364
1,warmup,25,1.1137294307888644e-04,7,0,0.30708651,127,61.014721
1,warmup,26,4.0599400780029486e-05,7,0,0.40944882,127,60.640398
1,warmup,27,7.9117085324668522e-05,7,0,1.00000000,127,60.657299
1,warmup,28,1.5250165669803510e-04,7,0,1.00000000,127,60.652038
1,warmup,29,2.9079007422249238e-04,7,0,1.00000000,127,60.857238
1,warmup,30,5.4859311656005566e-04,7,0,0.99999989,127,60.646353
1,warmup,31,1.0241544878952108e-03,7,0,0.99999976,127,60.452312
1,warmup,32,1.8862961853559120e-03,7,0,0.99879993,127,59.972855
1,warmup,33,4.2791182278067118e-04,7,0,0.21875738,127,60.786447
1,warmup,34,7.8564276873444093e-04,7,0,0.99876137,127,60.663069
1,warmup,35,3.4808584051995885e-04,7,0,0.46183211,127,60.808133
1,warmup,36,6.3554763748347105e-04,7,0,0.99984138,127,60.426165
1,warmup,37,6.0738707148659055e-04,7,0,0.75345863,127,61.298117
1,warmup,38,5.2934336311302244e-04,6,0,0.71738915,47,22.560534
1,warmup,39,2.2832284730800800e-04,7,0,0.44074461,127,60.684137
1,warmup,40,6.4360359026081597e-05,7,0,0.26771652,127,60.073546
1,warmup,41,1.1622199329769458e-04,7,0,0.99999999,127,60.676270
1,warmup,42,2.0798108739997863e-04,7,0,0.99999993,127,60.736664
1,warmup,43,3.6891906310888487e-04,7,0,0.99999977,127,60.447963
1,warmup,44,8.8468185383218807e-05,7,0,0.18897638,127,60.636890
1,warmup,45,1.5648784801746660e-04,7,0,1.00000000,127,60.568299
1,warmup,46,2.7449555716475491e-04,7,0,1.00000000,127,60.847470
1,warmup,47,4.7758433381203045e-04,7,0,1.00000000,127,60.763192
1,warmup,48,3.2169713437117100e-04,7,0,0.60611464,127,60.726252
1,warmup,49,5.5453743771137845e-04,7,0,0.99999997,127,60.123477
1,warmup,50,1.8521037831257338e-04,7,0,0.30694646,127,60.762929
1,warmup,51,3.1790791846440087e-04,7,0,0.99999799,127,60.601395
1,warmup,52,5.4153732601119214e-04,7,0,0.99990984,127,60.795578
1,warmup,53,9.1053474412098917e-04,7,0,0.99739344,127,59.936769
1,warmup,54,1.0538879843699721e-03,7,0,0.83781244,127,59.874405
1,warmup,55,1.7603528351718418e-03,7,0,0.99950217,127,60.706237
1,warmup,56,1.4141892720209951e-03,7,0,0.67966062,127,60.762086
1,warmup,57,1.6049167857363339e-03,7,0,0.83187449,127,60.101366
1,warmup,58,2.6025588353199213e-03,7,0,0.99202414,127,60.502520
