chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,2.602984
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,2.582998
1,warmup,3,1.6694455461765748e-02,2,1,0.00000030,3,7.851004
1,warmup,4,1.9610644386301858e-03,3,0,0.21210116,7,18.031688
1,warmup,5,4.3212969998739607e-04,7,0,0.41723741,127,331.296666
1,warmup,6,3.7049772043276142e-05,9,0,0.08627302,511,1291.193129
1,warmup,7,9.3599093054460096e-06,9,0,0.42462993,511,1276.867355
1,warmup,8,4.6832445125264352e-06,9,0,0.62230652,511,1276.623523
1,warmup,9,8.2073277509767300e-06,9,0,0.99998004,511,1262.552307
1,warmup,10,1.5150440030493448e-05,9,0,0.99999866,511,1268.521525
1,warmup,11,1.2636294383544331e-05,9,0,0.73774070,511,1267.649661
1,warmup,12,1.6758984366933866e-05,9,0,0.87668141,511,1273.797240
1,warmup,13,1.1581562073475928e-05,9,0,0.66338924,511,1257.794747
1,warmup,14,1.0727483885786743e-05,9,0,0.75136277,511,1262.799526
1,warmup,15,5.2917939242709678e-06,9,0,0.54395580,511,1245.141099
1,warmup,16,4.2036622309888869e-06,9,0,0.69264769,511,1277.045879
1,warmup,17,1.5433607999632881e-06,9,0,0.43634791,511,1272.562570
1,warmup,18,3.1954703729144659e-06,9,0,0.99999999,511,1283.388845
1,warmup,19,6.5731103314308909e-06,9,0,0.99999854,511,1260.636951
1,warmup,20,5.4298538378192024e-06,9,0,0.69665988,511,1271.338124
1,warmup,21,6.4970089188069075e-06,9,0,0.81989938,511,1245.909544
1,warmup,22,1.1216803756570512e-05,9,0,0.94519707,511,1220.242678
