chain,phase,iteration,step_size,tree_depth,diverging,accept_prob,num_steps,seconds
1,warmup,1,2.3350647909091338e+00,1,1,0.00000000,1,0.753560
1,warmup,2,2.3023584708549680e-01,1,1,0.00000000,1,0.766924
1,warmup,3,1.6694442034480849e-02,2,1,0.00000000,3,2.252040
1,warmup,4,4.6391442546705680e-03,3,0,0.51346634,7,5.467345
1,warmup,5,2.5812293104075399e-03,6,0,0.71534959,63,48.754049
1,warmup,6,2.2162300539731283e-04,7,1,0.07098802,95,72.544698
1,warmup,7,2.2638536868025105e-04,7,0,0.86394021,127,97.088433
1,warmup,8,3.8273145703375728e-04,7,0,0.99993917,127,95.667624
1,warmup,9,5.2007770465674601e-04,4,0,0.91267949,15,11.300250
1,warmup,10,1.7946124842348549e-04,7,0,0.46785704,127,94.900003
1,warmup,11,2.9119835948962513e-04,7,0,0.94931764,127,95.488794
1,warmup,12,2.5141670878217815e-04,7,0,0.74337344,127,96.744096
1,warmup,13,4.7301595154701867e-04,7,1,0.98665067,75,55.881133
1,warmup,14,7.9306397537924882e-04,7,0,0.94820012,65,49.075024
1,warmup,15,4.6391699345361048e-04,5,0,0.60772675,23,17.063650
1,warmup,16,1.1440819238126776e-04,7,0,0.32255656,127,95.438673
1,warmup,17,1.4163077213498617e-04,6,0,0.84231797,39,28.852610
1,warmup,18,2.8241204353481850e-04,7,0,0.99915293,127,94.715846
1,warmup,19,5.5989863747122671e-04,6,0,0.99969994,63,46.274119
1,warmup,20,1.0098690089610891e-03,7,0,0.97083598,127,97.050425
1,warmup,21,1.2374297598941814e-04,7,0,0.06389933,127,97.229107
